Order Num,Load Time (minutes),User Id,Shift,Order Type,Date,Week,Month
0405884452,99.3,173748,Orange,Customer Load,10/31/2024,44,10
0405884490,84.97,176842,Green,Customer Load,11/01/2024,44,11
0405884512,11.62,177025,Green,Customer Load,11/01/2024,44,11
0405884536,85.9,173748,Orange,Customer Load,10/31/2024,44,10
0405884537,253.82,177025,Blue,Customer Load,10/31/2024,44,10
0405884538,193.9,176056,Blue,Customer Load,10/31/2024,44,10
0405884684,311.9,173748,Orange,Customer Load,10/31/2024,44,10
0405884695,54.45,175527,Orange,Customer Load,10/31/2024,44,10
0405884698,229.05,179913,Orange,Customer Load,10/31/2024,44,10
0405884729,62.65,180182,Orange,Customer Load,10/31/2024,44,10
0405884734,33.82,176056,Green,Customer Load,11/01/2024,44,11
0405884740,66.28,167827,Orange,Customer Load,10/31/2024,44,10
0405884757,76.08,177025,Blue,Customer Load,10/31/2024,44,10
0405884870,165.2,175177,Orange,Customer Load,10/31/2024,44,10
0405884890,28.32,176056,Green,Customer Load,11/01/2024,44,11
0405884893,58.03,173014,Orange,Customer Load,10/31/2024,44,10
0405884896,43.42,176842,Blue,Customer Load,10/31/2024,44,10
0405884901,35.55,177050,Green,Customer Load,11/01/2024,44,11
0405885084,46.05,177025,Green,Customer Load,11/01/2024,44,11
0405885132,87.77,176842,Green,Customer Load,11/01/2024,44,11
0405885251,20.93,175319,Blue,Customer Load,10/31/2024,44,10
0405885706,146.18,177025,Blue,Customer Load,10/31/2024,44,10
0405885725,103.35,173748,Orange,Customer Load,10/31/2024,44,10
0405886093,178.62,173748,Orange,Customer Load,10/31/2024,44,10
0405886147,115.12,176056,Orange,Customer Load,10/31/2024,44,10
0405886256,201.12,176842,Blue,Customer Load,10/31/2024,44,10
0405888024,125.25,173011,Blue,Customer Load,10/31/2024,44,10
